graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
com-Orkut,0,0.0000001,0.0000001,2438.06,90.1,50.86,0.34,0.653237134,0.6534228546,0.6512911846,0.6489603544
com-Orkut,0,0.000001,0.000001,2541.98,82.14,81.38,0.44,0.6587887572,0.6534224948,0.6533873906,0.6489601664
com-Orkut,0,0.00001,0.00001,2497.3,70.2,72,6.32,0.65654597,0.6534212462,0.653417213,0.6491331864
com-Orkut,0,0.0001,0.0001,2440.12,64.66,67.52,21.48,0.6556310322,0.6533626426,0.6533636598,0.6502987824
com-Orkut,0,0.001,0.001,2444.32,68.72,82.08,36.86,0.653041704,0.6528022562,0.6528048584,0.6510328414
com-Orkut,0,0.01,0.01,2444.36,154.44,236.76,109,0.6507281748,0.6472994078,0.6473021294,0.6467213564
com-Orkut,0,0.1,0.1,3816.84,511.18,1039.34,519.52,0.592218672,0.597136522,0.5971368506,0.5971371892
