graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
arabic-2005,0,0.0000001,0.0000001,2157.92,360.2,107.42,6.14,0.9897181328,0.9899183738,0.9898328678,0.9897421414
arabic-2005,0,0.000001,0.000001,1891.32,337.66,224.76,6.68,0.9896965274,0.98991742,0.9899092406,0.9897492198
arabic-2005,0,0.00001,0.00001,1697.84,296.12,284.14,55,0.989691426,0.9899084844,0.9899081888,0.9897403926
arabic-2005,0,0.0001,0.0001,1645.98,295.9,388.32,24.58,0.9895806356,0.9898195066,0.9898195012,0.9896838908
arabic-2005,0,0.001,0.001,1675.66,322.46,356.2,112.3,0.9886545348,0.988930561,0.9889305614,0.988832145
arabic-2005,0,0.01,0.01,2005.02,440.72,842.2,414.68,0.9797390232,0.9801308176,0.9801309112,0.9800957684
arabic-2005,0,0.1,0.1,5127.1,2442.4,4239.3,2755.66,0.9006934102,0.9002367866,0.9002367764,0.900236655
