graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
sk-2005,0,0.0000001,0.0000001,7657.24,965.42,687.16,15.2,0.975786059,0.9761368764,0.9761252414,0.9760280682
sk-2005,0,0.000001,0.000001,7458.34,854.76,913.18,18.52,0.9757276352,0.9761360118,0.9761351482,0.976027195
sk-2005,0,0.00001,0.00001,7070.78,807.92,896.28,63.18,0.9757568648,0.976127272,0.9761271932,0.9760354586
sk-2005,0,0.0001,0.0001,7026.38,1401.48,891.94,106.56,0.975874251,0.9760398292,0.9760398102,0.9759567936
sk-2005,0,0.001,0.001,7556.56,960.46,1217.2,408.5,0.97435012,0.9751662806,0.975166298,0.975120479
sk-2005,0,0.01,0.01,9010.76,2600.62,3011.14,1554.72,0.965626106,0.9665196984,0.9665197016,0.966503386
sk-2005,0,0.1,0.1,23222.5,7057,12081.42,11471.78,0.8871666258,0.8880461994,0.8880461826,0.888046184
