graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
asia_osm,0,0.0000001,0.0000001,578.42,109.42,8.4,1.44,0.9987541528,0.9987629598,0.9987566246,0.998756621
asia_osm,0,0.000001,0.000001,569.92,27.32,9.88,1.7,0.9987549032,0.9987621248,0.998755818,0.998755756
asia_osm,0,0.00001,0.00001,586.46,31.7,14.54,2.7,0.9987433474,0.9987531068,0.9987480812,0.9987467162
asia_osm,0,0.0001,0.0001,596.08,43.24,60.48,2.3,0.9986266104,0.9986632574,0.99866237,0.9986568154
asia_osm,0,0.001,0.001,609.32,108.64,109.66,9.48,0.9974963014,0.9977653758,0.9977654056,0.9977589956
asia_osm,0,0.01,0.01,648.76,65.54,79.64,26.1,0.9871048878,0.9888750368,0.9888749736,0.9888684402
asia_osm,0,0.1,0.1,1314.48,255.42,205.24,99.24,0.8996861608,0.9079736332,0.9079736268,0.9079681858
