graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
com-LiveJournal,0,0.0000001,0.0000001,956.04,60.26,25.82,0.36,0.7219315656,0.7294377914,0.7269074344,0.7249567658
com-LiveJournal,0,0.000001,0.000001,874.6,31.58,39.16,0.38,0.7207252198,0.7294347166,0.72915989,0.7249586118
com-LiveJournal,0,0.00001,0.00001,901.02,25.7,26.14,0.48,0.7205345166,0.7294325552,0.7294204452,0.724951155
com-LiveJournal,0,0.0001,0.0001,894.56,25.68,28.6,2.58,0.721093373,0.7293686152,0.7293705258,0.7249022068
com-LiveJournal,0,0.001,0.001,855.94,48.8,35.08,24.74,0.7210998864,0.728760899,0.7287603936,0.7245975834
com-LiveJournal,0,0.01,0.01,893.44,49.58,69.66,34.28,0.7143391308,0.7227269216,0.7227271762,0.7200049654
com-LiveJournal,0,0.1,0.1,1461.44,204.82,355.26,205.18,0.6549462474,0.6679339936,0.6679338446,0.6675403894
