graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
indochina-2004,0,0.0000001,0.0000001,857.48,123.34,16.26,0.66,0.9488662038,0.948864325,0.9488210306,0.948805691
indochina-2004,0,0.000001,0.000001,768.6,126.64,35.02,0.72,0.9489036804,0.9488634892,0.9488501712,0.9488048756
indochina-2004,0,0.00001,0.00001,755.06,116.62,114.12,1.46,0.9488365214,0.9488553526,0.9488544288,0.9487967478
indochina-2004,0,0.0001,0.0001,720.28,114.68,115.94,44.32,0.948770281,0.9487738564,0.9487737462,0.9487200786
indochina-2004,0,0.001,0.001,744.02,129.62,140.74,33.82,0.9479845096,0.9479599518,0.9479599462,0.947924544
indochina-2004,0,0.01,0.01,920.32,185.18,306.44,140.98,0.9398147548,0.939901964,0.939901967,0.9398870126
indochina-2004,0,0.1,0.1,2346.6,878.94,1270,1146.6,0.8723404978,0.8666551468,0.86665516,0.8666550304
