graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
europe_osm,0,0.0000001,0.0000001,2883.26,105.16,30,13.52,0.9989319022,0.9989364142,0.9989326922,0.998932677
europe_osm,0,0.000001,0.000001,3065,164.36,55.16,15.3,0.9989299692,0.9989354946,0.9989319808,0.998931771
europe_osm,0,0.00001,0.00001,3466.2,164.76,87,17.58,0.9989161058,0.9989265346,0.998924431,0.9989227974
europe_osm,0,0.0001,0.0001,3096.98,351.02,265.68,16.04,0.9987740078,0.9988366346,0.9988365994,0.9988329028
europe_osm,0,0.001,0.001,3599.16,184.66,159.26,26.52,0.9974100574,0.9979386198,0.9979386244,0.997934897
europe_osm,0,0.01,0.01,3894.88,369.26,268.28,111,0.9857870124,0.9890466324,0.9890466258,0.9890429738
europe_osm,0,0.1,0.1,6701.76,730.02,961.84,826.1,0.8951490816,0.908128832,0.9081288186,0.908125849
