graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
webbase-2001,0,0.0000001,0.0000001,5574.72,730.72,219.1,29.6,0.9832941984,0.983941989,0.9836613734,0.9834958636
webbase-2001,0,0.000001,0.000001,5562.86,678.72,441.54,30.32,0.9831943386,0.9839411122,0.9838173974,0.9834951864
webbase-2001,0,0.00001,0.00001,5108.02,700.4,548.32,34.38,0.9834257882,0.9839325474,0.9839102838,0.9834940382
webbase-2001,0,0.0001,0.0001,5258.06,693.04,664.86,41.68,0.9832411274,0.9838466776,0.9838451144,0.9834355094
webbase-2001,0,0.001,0.001,5178.16,821.04,885.18,736.02,0.9824995188,0.9829885732,0.9829884884,0.9826090928
webbase-2001,0,0.01,0.01,6683.72,1819.28,1691.16,744.06,0.973829973,0.974469797,0.9744697892,0.9742041036
webbase-2001,0,0.1,0.1,21541.1,6586.52,7168.88,6239.44,0.8950852058,0.895683908,0.89568391,0.8956439298
