graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
uk-2005,0,0.0000001,0.0000001,4557.4,611.26,308.32,13.14,0.9820744494,0.982175276,0.9820962408,0.9820692802
uk-2005,0,0.000001,0.000001,4360.22,552.32,414.84,13.54,0.9820795926,0.9821743976,0.9821518078,0.9820684146
uk-2005,0,0.00001,0.00001,4142.22,542.76,532.64,14.5,0.9820700802,0.9821655728,0.9821634982,0.9820599082
uk-2005,0,0.0001,0.0001,4137.18,495.1,512.86,36.5,0.9819771592,0.982077359,0.9820773304,0.9819764378
uk-2005,0,0.001,0.001,4068.64,568.32,646.84,165.22,0.9811146422,0.981196044,0.981196044,0.9811103268
uk-2005,0,0.01,0.01,5750.72,814.44,1533.92,594.78,0.9722940988,0.9724710924,0.9724710858,0.9724256362
uk-2005,0,0.1,0.1,16319.14,4984.86,5328.78,3543.32,0.893971582,0.8932006614,0.8932006594,0.893200137
