graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
it-2004,0,0.0000001,0.0000001,3641.42,542.6,229.52,13.88,0.977539502,0.9775901554,0.9775567602,0.9775284002
it-2004,0,0.000001,0.000001,3301.86,498.28,405.6,23.94,0.977508391,0.9775892778,0.9775817808,0.9775275274
it-2004,0,0.00001,0.00001,3603.2,490.44,493.46,26.84,0.9775068516,0.9775804948,0.977580177,0.9775191586
it-2004,0,0.0001,0.0001,3187.48,437.4,478.5,86.36,0.9774378432,0.9774926792,0.9774926714,0.9774337264
it-2004,0,0.001,0.001,3516,601.96,653.54,226.52,0.976557481,0.9766154692,0.9766154648,0.9765645616
it-2004,0,0.01,0.01,4400.84,810.84,1728.94,729.44,0.9677722152,0.967932996,0.9679329952,0.9679081782
it-2004,0,0.1,0.1,15587.5,6190.28,7248.62,4774.46,0.891460572,0.8890945696,0.8890945896,0.8890944804
