graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
kmer_A2a,0,0.0000001,0.0000001,19581.52,688.08,331.14,37.46,0.972867196,0.9738101686,0.9736522458,0.973392007
kmer_A2a,0,0.000001,0.000001,19990.74,1132.32,478.6,42.2,0.972606224,0.9738092482,0.9737728824,0.9733911334
kmer_A2a,0,0.00001,0.00001,18011.4,695.26,1203.54,48.24,0.9725928944,0.9738006058,0.9737904776,0.9733823872
kmer_A2a,0,0.0001,0.0001,17699.82,775.52,754.8,220.94,0.9727523292,0.9737130094,0.9737125284,0.9732949482
kmer_A2a,0,0.001,0.001,18016.42,749.36,917.6,3323.04,0.971583257,0.9728381982,0.972838208,0.9724214964
kmer_A2a,0,0.01,0.01,20331.6,909.5,1925.92,1074.36,0.961743451,0.9641752618,0.964175208,0.9637721702
kmer_A2a,0,0.1,0.1,34212.74,1848.76,3189,2218.26,0.8747325438,0.8853419494,0.8853419822,0.8850502426
