graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
kmer_V1r,0,0.0000001,0.0000001,20905.54,755,410.96,42.12,0.9470677784,0.9462992836,0.9459501214,0.944658785
kmer_V1r,0,0.000001,0.000001,19772.54,812.12,841.84,45,0.9457722436,0.9462984642,0.9462014322,0.9446579478
kmer_V1r,0,0.00001,0.00001,19782.32,733.62,991.52,40.6,0.9462191124,0.9462899526,0.9462714046,0.944649504
kmer_V1r,0,0.0001,0.0001,20131.58,723.6,868.6,76.54,0.9466031628,0.9462050006,0.9462037732,0.9445650818
kmer_V1r,0,0.001,0.001,19565.2,1984.04,889.18,86.46,0.9452799776,0.9453560412,0.945356023,0.9437217016
kmer_V1r,0,0.01,0.01,21012.88,1670.78,1989.42,499.44,0.9343828284,0.9369497684,0.9369497926,0.935369605
kmer_V1r,0,0.1,0.1,33416.24,2330.26,3649.5,3451.34,0.8489167406,0.860457002,0.8604570042,0.859319751
