graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
it-2004,0.00000002,0.00000008,0.0000001,3581.84,504.8,232.52,15.62,0.977534441,0.9775816966,0.9775488734,0.9775199326
it-2004,0.0000002,0.0000008,0.000001,3423.78,514.94,409.24,18.6,0.9775081334,0.9775809902,0.9775740076,0.9775192416
it-2004,0.000002,0.000008,0.00001,3033.8,540.9,466.98,61.96,0.9775078176,0.9775739452,0.9775736822,0.9775122172
it-2004,0.00002,0.00008,0.0001,3111.04,507.26,566.08,117.26,0.9774585662,0.9775034882,0.9775034886,0.9774434824
it-2004,0.0002,0.0008,0.001,3391.88,611.54,728.2,285.3,0.9767327308,0.9768001288,0.9768001228,0.9767486044
it-2004,0.002,0.008,0.01,3648.68,1177.86,1469.28,667.66,0.9696539388,0.9698754938,0.9698754934,0.9698492268
it-2004,0.02,0.08,0.1,14378.84,6804.64,6022.38,5666.76,0.9077984916,0.905730978,0.9057309866,0.9057307316
