graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
kmer_V1r,0.00000002,0.00000008,0.0000001,21498.32,642.86,400.78,39.66,0.9468447596,0.948401229,0.9478447136,0.9474295608
kmer_V1r,0.0000002,0.0000008,0.000001,20584.16,575.6,800.8,40.64,0.9460501566,0.948400576,0.9482981694,0.947428889
kmer_V1r,0.000002,0.000008,0.00001,20423.46,1167,938.54,48.66,0.9457105522,0.948393901,0.9483759,0.947422211
kmer_V1r,0.00002,0.00008,0.0001,19532.3,1067.04,929.1,296.3,0.9468736472,0.9483266068,0.9483254964,0.94735517
kmer_V1r,0.0002,0.0008,0.001,21275.08,742.42,821.98,1391.16,0.9449021946,0.947655021,0.947655041,0.9466856564
kmer_V1r,0.002,0.008,0.01,22109.2,959.96,1249.32,557.18,0.938679732,0.9409781956,0.9409781774,0.9400300646
kmer_V1r,0.02,0.08,0.1,33956.48,3014,4449.78,2535.42,0.878506528,0.8781297588,0.8781297848,0.8773677968
