graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
europe_osm,0.00000002,0.00000008,0.0000001,3178.54,170.4,32.08,12.94,0.998931824,0.998936048,0.998932486,0.99893247
europe_osm,0.0000002,0.0000008,0.000001,3372.38,134.16,65.22,15.18,0.9989316898,0.9989353274,0.9989319592,0.9989317528
europe_osm,0.000002,0.000008,0.00001,3390.78,216.22,80.02,16.46,0.9989203776,0.998928153,0.998926051,0.99892456
europe_osm,0.00002,0.00008,0.0001,3596.4,180.46,205.04,70.96,0.998807402,0.9988563816,0.998856291,0.998852706
europe_osm,0.0002,0.0008,0.001,3540.32,192.12,150,23.54,0.997733225,0.9981384332,0.9981384372,0.9981341582
europe_osm,0.002,0.008,0.01,3745.16,196.58,250.36,107.76,0.988804597,0.9910061078,0.991006099,0.9909955004
europe_osm,0.02,0.08,0.1,5646.1,658.34,873,497.18,0.9228295604,0.9241400374,0.9241400446,0.9241048944
