graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
webbase-2001,0.00000002,0.00000008,0.0000001,5213.42,650.52,184.12,35.8,0.9834085992,0.9838621944,0.983585033,0.9834140494
webbase-2001,0.0000002,0.0000008,0.000001,4804.86,580.3,318.54,29.46,0.9834242964,0.983861517,0.9837235604,0.9834134156
webbase-2001,0.000002,0.000008,0.00001,4813.48,748.64,513.9,28.42,0.9833378894,0.9838546628,0.9838307484,0.983410642
webbase-2001,0.00002,0.00008,0.0001,4874.24,677.74,647.74,265.98,0.9830668292,0.9837859564,0.9837842758,0.9833591066
webbase-2001,0.0002,0.0008,0.001,4367.4,640.22,786.64,811.76,0.9826094374,0.9830999586,0.9830998746,0.9827118656
webbase-2001,0.002,0.008,0.01,6275.5,1293.86,1758.62,989.88,0.975659794,0.9763058346,0.976305818,0.9760270966
webbase-2001,0.02,0.08,0.1,23014.54,6656.68,8093.92,4336.32,0.9128981802,0.9133601168,0.913360124,0.913310359
