graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
indochina-2004,0.00000002,0.00000008,0.0000001,976.86,149.08,21.54,0.76,0.9488453002,0.9488347656,0.9487939474,0.9487802466
indochina-2004,0.0000002,0.0000008,0.000001,880.82,135.22,56.82,0.92,0.948884169,0.9488340168,0.9488236704,0.9487795834
indochina-2004,0.000002,0.000008,0.00001,917.1,155.78,165.34,2.38,0.9488859932,0.9488273538,0.9488263522,0.9487729146
indochina-2004,0.00002,0.00008,0.0001,889.86,145.92,148.62,12.86,0.9487938302,0.9487607362,0.9487606122,0.9487190882
indochina-2004,0.0002,0.0008,0.001,950.44,211.42,191,47.78,0.9481207488,0.9480960014,0.9480959758,0.9480697402
indochina-2004,0.002,0.008,0.01,1071.42,272.38,362.92,157.58,0.9411205018,0.9415726788,0.9415726744,0.9415612186
indochina-2004,0.02,0.08,0.1,2221.7,770.98,1379.36,859.1,0.8847791752,0.8816808746,0.881681175,0.8816808862
