graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
sk-2005,0.00000002,0.00000008,0.0000001,7052.02,749.64,583.58,17.82,0.9757205242,0.9752299126,0.9752148386,0.9750111596
sk-2005,0.0000002,0.0000008,0.000001,7059.3,812.4,774.28,40.42,0.9756975636,0.9752289286,0.9752276948,0.9750184018
sk-2005,0.000002,0.000008,0.00001,6934.26,830.78,849.72,108,0.9757658884,0.9752222202,0.975222186,0.975018559
sk-2005,0.00002,0.00008,0.0001,7088.68,1120.74,975.46,347.42,0.9759160072,0.975152063,0.9751520014,0.9750780806
sk-2005,0.0002,0.0008,0.001,7463.54,1091.74,1514.38,645.08,0.9741595022,0.974454456,0.9744539602,0.974408442
sk-2005,0.002,0.008,0.01,9872.7,2082.52,3529.5,1979,0.9664610972,0.967571785,0.9675721888,0.9675560226
sk-2005,0.02,0.08,0.1,19387.8,10340.86,12701.7,10988.58,0.9031995708,0.9034234104,0.9034234282,0.90342339
