graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
com-Orkut,0.00000002,0.00000008,0.0000001,2616.06,70,46.18,0.32,0.6497717252,0.6638345564,0.662729013,0.6613989188
com-Orkut,0.0000002,0.0000008,0.000001,2283.8,56.58,60.68,1.34,0.6552572632,0.6638391256,0.6637803906,0.6613996716
com-Orkut,0.000002,0.000008,0.00001,2433,59.22,60.28,2.96,0.6573100072,0.6638367652,0.6638358054,0.661413067
com-Orkut,0.00002,0.00008,0.0001,2527.98,59.9,62.26,13.42,0.6557379304,0.6637895016,0.6637848988,0.6616499786
com-Orkut,0.0002,0.0008,0.001,2423.48,61.44,76.56,36.52,0.6533668682,0.6633253818,0.6633288256,0.6619882194
com-Orkut,0.002,0.008,0.01,2586.18,121.08,273.92,132.64,0.6526029664,0.6587502262,0.6587474486,0.6583007962
com-Orkut,0.02,0.08,0.1,3304.8,509.3,982.26,522.16,0.603882189,0.6158227368,0.6158270932,0.6158235488
