graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
kmer_A2a,0.00000002,0.00000008,0.0000001,19898.2,1155.86,242.78,40.96,0.9725162676,0.9724195498,0.972157394,0.9718446668
kmer_A2a,0.0000002,0.0000008,0.000001,18401.14,1069.3,327.02,34.68,0.9728588158,0.9724189646,0.972383777,0.9718439714
kmer_A2a,0.000002,0.000008,0.00001,18301.68,1196,736.18,35,0.9728006188,0.9724119878,0.9724021708,0.9718370336
kmer_A2a,0.00002,0.00008,0.0001,18915.34,958.36,1688.04,41.24,0.973319574,0.9723425442,0.972341966,0.9717677088
kmer_A2a,0.0002,0.0008,0.001,17090.18,1560.42,1619.68,102.9,0.9721078942,0.9716482986,0.9716485444,0.9710748784
kmer_A2a,0.002,0.008,0.01,18171.86,2095,2252.24,794.86,0.965251993,0.9647506762,0.9647507134,0.9641894966
kmer_A2a,0.02,0.08,0.1,28344.42,2402.76,4632.4,2481.2,0.9047998602,0.8998227146,0.8998229204,0.8993753992
