graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
arabic-2005,0.00000002,0.00000008,0.0000001,1867.28,282.9,94,6.84,0.9896036798,0.989914636,0.989843906,0.9897402812
arabic-2005,0.0000002,0.0000008,0.000001,1755,281.32,187.88,7.28,0.9896177258,0.9899140714,0.9899040576,0.9897395728
arabic-2005,0.000002,0.000008,0.00001,1786.54,268.98,266.54,20.78,0.9896324028,0.9899068048,0.9899063614,0.9897327264
arabic-2005,0.00002,0.00008,0.0001,1890.18,302.02,313.88,52.42,0.9895517554,0.9898356766,0.9898356606,0.9897171482
arabic-2005,0.0002,0.0008,0.001,2077.06,430.28,472.86,178.34,0.9888363314,0.9891253632,0.9891253468,0.9890445774
arabic-2005,0.002,0.008,0.01,2488.22,926.66,960.9,530.76,0.981488993,0.982128817,0.9821288334,0.9820952114
arabic-2005,0.02,0.08,0.1,6784.56,2401.86,4444.98,3714.24,0.9176666948,0.9172165788,0.9172166562,0.9172163684
