graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
uk-2005,0.00000002,0.00000008,0.0000001,5294.66,700.96,332.06,18.94,0.9820776606,0.9821775044,0.9820956284,0.9820683318
uk-2005,0.0000002,0.0000008,0.000001,4959.34,641.34,486.64,43.54,0.982073673,0.9821767924,0.9821499188,0.9820676298
uk-2005,0.000002,0.000008,0.00001,4230.24,555.02,550.88,174.32,0.982066197,0.9821697186,0.9821673662,0.9820615486
uk-2005,0.00002,0.00008,0.0001,4164.04,535.54,588.06,230.22,0.98199537,0.9820990624,0.982099024,0.981994759
uk-2005,0.0002,0.0008,0.001,4488.36,852.34,699.78,432.72,0.980915682,0.9813934166,0.9813934118,0.9813058408
uk-2005,0.002,0.008,0.01,6162.24,1116.4,1245.54,731.78,0.9743158842,0.9744290226,0.9744290186,0.9743797814
uk-2005,0.02,0.08,0.1,16994.52,5050.2,6203.34,3981.6,0.9097878614,0.9098390416,0.9098390398,0.9098379646
