graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
asia_osm,0.00000002,0.00000008,0.0000001,640.36,33.18,14.02,2.08,0.9987545912,0.9987619034,0.998756408,0.998756405
asia_osm,0.0000002,0.0000008,0.000001,611.2,40.78,8.04,1.92,0.9987514832,0.9987612332,0.998755836,0.998755698
asia_osm,0.000002,0.000008,0.00001,602.82,38.2,16.44,3.72,0.998744158,0.998754076,0.9987495858,0.9987485436
asia_osm,0.00002,0.00008,0.0001,577.94,37.68,52.78,2.52,0.9986564476,0.9986823436,0.9986812498,0.9986766868
asia_osm,0.0002,0.0008,0.001,600.48,100.96,49.22,7.02,0.997794043,0.9979652688,0.9979652812,0.9979583272
asia_osm,0.002,0.008,0.01,630.66,111.16,120.78,33.84,0.9900977712,0.9908401736,0.9908400732,0.9908222582
asia_osm,0.02,0.08,0.1,1047.64,108.12,169.82,95.94,0.9276484928,0.9241066236,0.9241067356,0.9240584632
