graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
all,0,0.0000001,0.0000001,3353.320098,272.1348116,93.8227885,5.663889622,0.9291723562,0.9299413723,0.9294653181,0.9289438879
all,0,0.000001,0.000001,3224.226475,246.1882312,156.934465,6.425602017,0.9293906235,0.9299403543,0.9298879117,0.9289439838
all,0,0.00001,0.00001,3188.439924,229.1448262,212.1720568,10.87357062,0.9292366232,0.9299328104,0.9299263185,0.9289526209
all,0,0.0001,0.0001,3104.298373,249.6712324,254.0276819,23.09939569,0.9291968177,0.9298499223,0.9298498025,0.9289797645
all,0,0.001,0.001,3184.858042,287.7496138,299.2418333,92.23880043,0.9280893325,0.9290265225,0.929026693,0.9283023887
all,0,0.01,0.01,3698.050817,427.1626362,611.0251336,257.9795701,0.919430138,0.9208749495,0.9208751963,0.9204002997
all,0,0.1,0.1,8080.098278,1488.133245,2202.302335,1492.642584,0.8421972783,0.8466574337,0.8466574504,0.846501502
