graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
all,0.0000001,0,0.0000001,4097.618468,296.0509808,96.81219873,6.340421107,0.9281315402,0.9304240122,0.9299003163,0.9294825113
all,0.000001,0,0.000001,4034.587808,267.2397338,146.5539401,10.74003709,0.9292056333,0.9304245297,0.930342445,0.9294822976
all,0.00001,0,0.00001,3946.287205,255.3633542,215.7996083,21.44101255,0.9294629724,0.9304241796,0.9304114245,0.9294911043
all,0.0001,0,0.0001,3905.870664,258.5763519,284.5255646,38.85560201,0.9297745449,0.9304235688,0.9304227428,0.9295966981
all,0.001,0,0.001,3957.018041,316.4452347,364.3586474,97.13016622,0.9293320507,0.93042055,0.9304204784,0.9297275122
all,0.01,0,0.01,3989.54181,470.163785,627.947344,321.8383406,0.9290435548,0.9303849923,0.9303852407,0.9299035586
all,0.1,0,0.1,3617.125816,1244.614092,1634.211882,1167.940492,0.928431096,0.9301257838,0.9301256182,0.9298792706
