graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
all,0.00000002,0.00000008,0.0000001,3429.832178,247.7427327,90.53747419,6.349930787,0.9285849192,0.9307809099,0.9303712548,0.9301090665
all,0.0000002,0.0000008,0.000001,3269.447869,234.8257076,148.2130929,8.43211549,0.9295055461,0.9307803085,0.930730242,0.9301091761
all,0.000002,0.000008,0.00001,3207.941241,259.7383377,209.7669382,15.75460097,0.9294015116,0.9307743855,0.9307676596,0.9301051435
all,0.00002,0.00008,0.0001,3242.469434,256.7809552,280.7416642,34.14887636,0.9293244569,0.9307080219,0.930706696,0.9300820574
all,0.0002,0.0008,0.001,3280.941345,305.5602625,314.4409255,88.90241931,0.928144451,0.9300473127,0.9300472786,0.9295128399
all,0.002,0.008,0.01,3793.411558,459.1751782,631.587489,297.5157139,0.9212986328,0.9235140294,0.9235135351,0.9231445204
all,0.02,0.08,0.1,7447.544171,1495.219593,2275.610594,1429.405401,0.8616471244,0.8627911827,0.8627915717,0.86265384
