graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
indochina-2004,0.0000001,0,0.0000001,945.24,175.18,32.32,1.36,0.9488377716,0.948930192,0.9488729706,0.9488693482
indochina-2004,0.000001,0,0.000001,859.36,149.2,37.96,2.68,0.9488533338,0.9489301496,0.9489050926,0.9488692758
indochina-2004,0.00001,0,0.00001,841.18,135.52,139.32,9.92,0.9487982646,0.9489293944,0.9489280846,0.948871801
indochina-2004,0.0001,0,0.0001,839.48,138.12,141.8,20.96,0.9488526526,0.9489220248,0.9489218586,0.948877906
indochina-2004,0.001,0,0.001,866.86,158.06,183.66,58.44,0.9487869538,0.9488479212,0.948847924,0.9488128716
indochina-2004,0.01,0,0.01,984.04,234.86,320.2,164.1,0.9478769188,0.9481226326,0.9481225858,0.9481074644
indochina-2004,0.1,0,0.1,1032.62,684.04,913.38,697.82,0.9393595928,0.9418299718,0.9418299038,0.9418268046
