graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
com-LiveJournal,0.0000001,0,0.0000001,1245.36,61.78,22.98,0.76,0.7161719062,0.726024688,0.7226821832,0.7215287702
com-LiveJournal,0.000001,0,0.000001,1348.3,54.22,49.8,0.76,0.7209710646,0.7260279676,0.7256180576,0.7215287754
com-LiveJournal,0.00001,0,0.00001,1320.5,49.36,49,1.02,0.7247642692,0.7260253322,0.7259775816,0.7215310922
com-LiveJournal,0.0001,0,0.0001,1398.36,44.4,50.52,2.96,0.7236466756,0.7260185624,0.7260191174,0.7215579844
com-LiveJournal,0.001,0,0.001,1470.88,48.6,61.98,12.7,0.7196152236,0.7260052156,0.7260022682,0.7219257538
com-LiveJournal,0.01,0,0.01,1511.72,73.46,112.62,47.06,0.7152047486,0.7258406224,0.7258459018,0.7232086916
com-LiveJournal,0.1,0,0.1,1225.66,156.34,249.84,145.02,0.7075689366,0.7249524322,0.724944144,0.7243901522
