graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
uk-2005,0.0000001,0,0.0000001,5636.78,688.04,382.42,25.64,0.9820761372,0.9821861764,0.9821006536,0.9820831144
uk-2005,0.000001,0,0.000001,5544.4,614.4,513.12,144.74,0.982091036,0.9821861748,0.9821488904,0.9820831118
uk-2005,0.00001,0,0.00001,5658.78,585.88,635.82,269.72,0.9820765022,0.9821861258,0.9821810638,0.9820834724
uk-2005,0.0001,0,0.0001,5470.18,580.08,664.16,259.28,0.9820749632,0.9821856546,0.9821855452,0.9820857954
uk-2005,0.001,0,0.001,5623.06,772.66,912.8,490.14,0.9820719328,0.9821811272,0.9821811278,0.9820908582
uk-2005,0.01,0,0.01,5632.12,1103,1497.94,1009.74,0.981809984,0.982136121,0.9821361216,0.9820721822
uk-2005,0.1,0,0.1,5964.08,5517.16,5863.9,3297.48,0.9785769122,0.981728967,0.9817289626,0.9817134316
