graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
kmer_A2a,0.0000001,0,0.0000001,20832.16,781.32,276.88,40.4,0.9728182898,0.9732812754,0.9729439824,0.972813652
kmer_A2a,0.000001,0,0.000001,20708.64,695.64,441.82,27.82,0.973393329,0.973281316,0.9732387686,0.972813685
kmer_A2a,0.00001,0,0.00001,20375.66,722.1,610.64,38.24,0.973007121,0.9732815412,0.9732680376,0.9728139252
kmer_A2a,0.0001,0,0.0001,20212.9,743.84,1002.5,43.66,0.9732081694,0.9732839034,0.9732823746,0.9728161962
kmer_A2a,0.001,0,0.001,20337,777.88,886.78,1254.82,0.9734836774,0.9733090982,0.9733090752,0.9728402664
kmer_A2a,0.01,0,0.01,19830.62,2925.1,1266.68,504.32,0.9766619238,0.9735529296,0.9735529104,0.9730738376
kmer_A2a,0.1,0,0.1,15578.12,2020.82,2644.12,1974.32,0.9875615848,0.9757978414,0.9757978328,0.9752606486
