graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
kmer_V1r,0.0000001,0,0.0000001,24929.04,879,592.62,42.98,0.947214769,0.9471932286,0.9465357388,0.9458376614
kmer_V1r,0.000001,0,0.000001,25159.98,712.38,614.2,29.9,0.9470148268,0.9471932746,0.947019082,0.9458377142
kmer_V1r,0.00001,0,0.00001,24745.6,713.66,754.84,58.84,0.947294389,0.9471937412,0.9471618328,0.9458381724
kmer_V1r,0.0001,0,0.0001,24051.56,722.66,810.74,37.82,0.9473006048,0.947198459,0.9471955094,0.9458427752
kmer_V1r,0.001,0,0.001,23853.74,2196.58,903.9,91.1,0.947998957,0.947246161,0.9472461128,0.9458882854
kmer_V1r,0.01,0,0.01,23105.9,1143.1,1436.96,1955.74,0.9518528074,0.9477164994,0.9477164854,0.9463409954
kmer_V1r,0.1,0,0.1,17215.48,2214.6,3029.58,2117.28,0.9685968042,0.9520808666,0.952080911,0.9506046146
