graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
asia_osm,0.0000001,0,0.0000001,814.28,39.82,5.88,2.64,0.998756969,0.9987620102,0.9987563234,0.998756319
asia_osm,0.000001,0,0.000001,839.04,37.98,5.3,2.18,0.9987553048,0.9987620294,0.9987563622,0.9987563184
asia_osm,0.00001,0,0.00001,852,39.4,10.12,2.9,0.9987574186,0.9987620154,0.9987568364,0.9987563278
asia_osm,0.0001,0,0.0001,843.38,39.5,30.58,2.16,0.998773449,0.9987626924,0.9987608282,0.9987563764
asia_osm,0.001,0,0.001,839.56,37.92,45.3,4.08,0.998897829,0.998769814,0.9987697332,0.9987572148
asia_osm,0.01,0,0.01,823.24,48.22,61.48,24.66,0.9992259486,0.9988115654,0.998811566,0.9987652448
asia_osm,0.1,0,0.1,753.74,125.76,181.4,127.12,0.9964545296,0.9989508358,0.998950804,0.9988502802
