graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
sk-2005,0.0000001,0,0.0000001,10321.4,968.38,651.64,28.34,0.9757963318,0.9764851286,0.9764626092,0.9762945272
sk-2005,0.000001,0,0.000001,9608.04,931.1,901.08,79.86,0.9759845924,0.9764851468,0.9764836426,0.9762877468
sk-2005,0.00001,0,0.00001,9286.08,895.54,1009,195.2,0.976008253,0.9764851658,0.9764850844,0.9763205452
sk-2005,0.0001,0,0.0001,9289.56,898.86,1175.24,358.18,0.9761524398,0.9764848394,0.976484859,0.9763969382
sk-2005,0.001,0,0.001,9604.2,1201.78,1626.66,772.7,0.9757893046,0.976482121,0.976482205,0.9764202376
sk-2005,0.01,0,0.01,10058.36,1880.32,2861.42,1893.18,0.976101129,0.9764564804,0.9764564572,0.9764297208
sk-2005,0.1,0,0.1,9117.5,6732.68,7828.86,6771.84,0.9735326258,0.9762695008,0.9762694612,0.9762654986
