graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
europe_osm,0.0000001,0,0.0000001,3729.1,155.02,33.32,8.02,0.9989326612,0.9989387934,0.9989352972,0.998935293
europe_osm,0.000001,0,0.000001,3633.12,135.02,36.1,7.96,0.9989317772,0.9989388228,0.9989354096,0.9989352958
europe_osm,0.00001,0,0.00001,3574.72,133.88,74.84,8.02,0.998931954,0.998938832,0.9989362314,0.9989353124
europe_osm,0.0001,0,0.0001,3560.22,127.42,135.64,9.94,0.9989407822,0.9989393552,0.9989390676,0.9989354006
europe_osm,0.001,0,0.001,3523.96,278.9,149.14,22.84,0.9990028234,0.9989436496,0.9989436638,0.9989361544
europe_osm,0.01,0,0.01,3394.44,207.16,248.58,114.62,0.9989980054,0.9989768298,0.9989768076,0.9989446602
europe_osm,0.1,0,0.1,3090.5,526.36,647.06,485.56,0.9959096342,0.9991175234,0.9991175686,0.9990264674
