graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
it-2004,0.0000001,0,0.0000001,4581.52,645.1,227.06,8.74,0.9775550456,0.9775973114,0.9775511082,0.9775362478
it-2004,0.000001,0,0.000001,3877.88,584.86,398.34,33.14,0.977548231,0.97759729,0.9775844322,0.9775362592
it-2004,0.00001,0,0.00001,3643.8,493.3,506.34,91.34,0.9775644292,0.9775972004,0.9775963712,0.9775362884
it-2004,0.0001,0,0.0001,3528.76,511.6,573.86,159.3,0.9775608168,0.9775961006,0.9775960868,0.9775371204
it-2004,0.001,0,0.001,3719.38,676.72,908.42,389.74,0.9775207694,0.9775854168,0.977585413,0.9775336266
it-2004,0.01,0,0.01,3801.56,1066.76,1555.06,884.32,0.977270208,0.9774805838,0.977480581,0.9774464602
it-2004,0.1,0,0.1,3616.18,5445.62,3564.54,2776.04,0.9734139942,0.9765431024,0.9765431052,0.97653748
