graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
com-Orkut,0.0000001,0,0.0000001,2920.08,86.38,63.3,0.68,0.6464492816,0.6618168828,0.6604756104,0.6579744434
com-Orkut,0.000001,0,0.000001,3507.46,89.86,86.08,3.04,0.6537662652,0.6618197128,0.6617417176,0.6579748944
com-Orkut,0.00001,0,0.00001,3086.06,77.74,80.02,6.4,0.6532187538,0.6618183212,0.6618145994,0.658026238
com-Orkut,0.0001,0,0.0001,3108.9,100.86,84.5,25.42,0.6577939356,0.6618187586,0.6618179122,0.6590436848
com-Orkut,0.001,0,0.001,2847.34,99.46,140.92,58.36,0.6565351214,0.6618034516,0.6618057716,0.6601135396
com-Orkut,0.01,0,0.01,2618.5,145.98,367.12,116.5,0.6516740712,0.6616525328,0.661650367,0.6609274042
com-Orkut,0.1,0,0.1,1987.36,533.76,1040.94,472.18,0.6511652436,0.6603581342,0.6603644954,0.6603299484
