graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
arabic-2005,0.0000001,0,0.0000001,2273.38,395.56,100.34,3.42,0.9896359708,0.9898990762,0.9898124282,0.9896370172
arabic-2005,0.000001,0,0.000001,2160.8,318.18,185.94,14.66,0.9897113234,0.9898990784,0.9898808932,0.9896407388
arabic-2005,0.00001,0,0.00001,2179.1,303.36,296,34.4,0.9897396202,0.9898990816,0.9898968084,0.9896541642
arabic-2005,0.0001,0,0.0001,2141.2,310.38,348.46,237.94,0.9896595382,0.9898991322,0.98989912,0.9897632204
arabic-2005,0.001,0,0.001,2199.34,402.86,515.08,228.74,0.989252502,0.9898997718,0.989899768,0.9898273698
arabic-2005,0.01,0,0.01,2374.96,612.24,875.18,526.64,0.9894490814,0.989904763,0.9899047804,0.9898645266
arabic-2005,0.1,0,0.1,2486.8,1967.58,2456.36,2088.38,0.9870963164,0.9899045916,0.9899045982,0.9898991902
