graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
webbase-2001,0.0000001,0,0.0000001,6996.3,787.04,217.34,20.72,0.9833333486,0.9839733828,0.98367489,0.9835237412
webbase-2001,0.000001,0,0.000001,6593.74,701.44,358.08,18.62,0.9834465158,0.983973393,0.9837969914,0.9835237554
webbase-2001,0.00001,0,0.00001,6561.3,702.32,566.2,40.1,0.983394694,0.9839734044,0.9839345618,0.9835259124
webbase-2001,0.0001,0,0.0001,6255.28,700.3,1256.16,283.3,0.9833305112,0.9839733424,0.9839706342,0.9835469796
webbase-2001,0.001,0,0.001,6449.94,769.74,913.42,277.62,0.983029514,0.9839728522,0.9839726786,0.9835839686
webbase-2001,0.01,0,0.01,6456.5,1431.28,1793.28,1082.18,0.982397831,0.9839683472,0.9839683244,0.9836615148
webbase-2001,0.1,0,0.1,6620.48,3701.9,4818.6,4190.68,0.981936977,0.9839756384,0.9839756316,0.9838467306
